aoi,year,season,n_scene,status
Titik_09,2018,S1,0,empty
Titik_09,2018,S2,3,thin
Titik_09,2018,S3,0,empty
Titik_09,2019,S1,2,thin
Titik_09,2019,S2,28,ok
Titik_09,2019,S3,21,ok
Titik_09,2020,S1,4,thin
Titik_09,2020,S2,18,ok
Titik_09,2020,S3,6,ok
Titik_09,2021,S1,7,ok
Titik_09,2021,S2,17,ok
Titik_09,2021,S3,8,ok
Titik_09,2022,S1,0,empty
Titik_09,2022,S2,9,ok
Titik_09,2022,S3,2,thin
Titik_09,2023,S1,3,thin
Titik_09,2023,S2,26,ok
Titik_09,2023,S3,18,ok
Titik_09,2024,S1,3,thin
Titik_09,2024,S2,19,ok
Titik_09,2024,S3,12,ok
Titik_09,2025,S1,2,thin
Titik_09,2025,S2,18,ok
Titik_09,2025,S3,5,ok
Titik_10,2018,S1,0,empty
Titik_10,2018,S2,3,thin
Titik_10,2018,S3,0,empty
Titik_10,2019,S1,2,thin
Titik_10,2019,S2,28,ok
Titik_10,2019,S3,21,ok
Titik_10,2020,S1,5,ok
Titik_10,2020,S2,18,ok
Titik_10,2020,S3,6,ok
Titik_10,2021,S1,7,ok
Titik_10,2021,S2,17,ok
Titik_10,2021,S3,8,ok
Titik_10,2022,S1,0,empty
Titik_10,2022,S2,9,ok
Titik_10,2022,S3,2,thin
Titik_10,2023,S1,3,thin
Titik_10,2023,S2,26,ok
Titik_10,2023,S3,18,ok
Titik_10,2024,S1,3,thin
Titik_10,2024,S2,19,ok
Titik_10,2024,S3,12,ok
Titik_10,2025,S1,2,thin
Titik_10,2025,S2,18,ok
Titik_10,2025,S3,5,ok
Titik_11,2018,S1,0,empty
Titik_11,2018,S2,3,thin
Titik_11,2018,S3,0,empty
Titik_11,2019,S1,2,thin
Titik_11,2019,S2,28,ok
Titik_11,2019,S3,21,ok
Titik_11,2020,S1,5,ok
Titik_11,2020,S2,18,ok
Titik_11,2020,S3,6,ok
Titik_11,2021,S1,7,ok
Titik_11,2021,S2,17,ok
Titik_11,2021,S3,8,ok
Titik_11,2022,S1,0,empty
Titik_11,2022,S2,9,ok
Titik_11,2022,S3,2,thin
Titik_11,2023,S1,3,thin
Titik_11,2023,S2,26,ok
Titik_11,2023,S3,18,ok
Titik_11,2024,S1,3,thin
Titik_11,2024,S2,19,ok
Titik_11,2024,S3,12,ok
Titik_11,2025,S1,2,thin
Titik_11,2025,S2,18,ok
Titik_11,2025,S3,5,ok
