aoi,year,season,n_scene,status,cloud_filter_used
Titik_02,2018,S1,0,empty_adaptive,
Titik_02,2018,S2,3,ok_adaptive,20.0
Titik_02,2018,S3,3,ok_adaptive,90.0
Titik_02,2019,S1,6,ok_adaptive,35.0
Titik_02,2020,S1,4,ok_adaptive,20.0
Titik_02,2022,S1,7,ok_adaptive,35.0
Titik_02,2022,S3,5,ok_adaptive,35.0
Titik_02,2023,S1,3,ok_adaptive,20.0
Titik_02,2024,S1,3,ok_adaptive,20.0
Titik_02,2025,S1,6,ok_adaptive,35.0
Titik_04,2018,S1,0,empty_adaptive,
Titik_04,2018,S2,3,ok_adaptive,20.0
Titik_04,2018,S3,3,ok_adaptive,90.0
Titik_04,2019,S1,6,ok_adaptive,35.0
Titik_04,2019,S3,22,ok_adaptive,20.0
Titik_04,2020,S1,4,ok_adaptive,20.0
Titik_04,2022,S1,7,ok_adaptive,35.0
Titik_04,2022,S3,5,ok_adaptive,35.0
Titik_04,2023,S1,3,ok_adaptive,20.0
Titik_04,2024,S1,3,ok_adaptive,20.0
Titik_04,2025,S1,6,ok_adaptive,35.0
Titik_05,2018,S1,0,empty_adaptive,
Titik_05,2018,S2,3,ok_adaptive,20.0
Titik_05,2018,S3,3,ok_adaptive,90.0
Titik_05,2019,S1,6,ok_adaptive,35.0
Titik_05,2022,S1,7,ok_adaptive,35.0
Titik_05,2022,S3,5,ok_adaptive,35.0
Titik_05,2023,S1,3,ok_adaptive,20.0
Titik_05,2024,S1,3,ok_adaptive,20.0
Titik_05,2025,S1,6,ok_adaptive,35.0
Titik_06,2018,S1,0,empty_adaptive,
Titik_06,2018,S2,3,ok_adaptive,20.0
Titik_06,2018,S3,3,ok_adaptive,90.0
Titik_06,2019,S1,6,ok_adaptive,35.0
Titik_06,2020,S1,4,ok_adaptive,20.0
Titik_06,2022,S1,7,ok_adaptive,35.0
Titik_06,2022,S3,5,ok_adaptive,35.0
Titik_06,2023,S1,3,ok_adaptive,20.0
Titik_06,2024,S1,3,ok_adaptive,20.0
Titik_06,2024,S3,12,ok_adaptive,20.0
Titik_06,2025,S1,6,ok_adaptive,35.0
Titik_07,2018,S1,0,empty_adaptive,
Titik_07,2018,S2,3,ok_adaptive,20.0
Titik_07,2018,S3,3,ok_adaptive,90.0
Titik_07,2019,S1,6,ok_adaptive,35.0
Titik_07,2020,S1,4,ok_adaptive,20.0
Titik_07,2022,S1,7,ok_adaptive,35.0
Titik_07,2022,S3,5,ok_adaptive,35.0
Titik_07,2023,S1,3,ok_adaptive,20.0
Titik_07,2024,S1,3,ok_adaptive,20.0
Titik_07,2025,S1,6,ok_adaptive,35.0
Titik_09,2018,S1,0,empty_adaptive,
Titik_09,2018,S2,3,ok_adaptive,20.0
Titik_09,2018,S3,3,ok_adaptive,90.0
Titik_09,2019,S1,6,ok_adaptive,35.0
Titik_09,2020,S1,4,ok_adaptive,20.0
Titik_09,2022,S1,7,ok_adaptive,35.0
Titik_09,2022,S3,5,ok_adaptive,35.0
Titik_09,2023,S1,3,ok_adaptive,20.0
Titik_09,2024,S1,3,ok_adaptive,20.0
Titik_09,2025,S1,6,ok_adaptive,35.0
Titik_10,2018,S1,0,empty_adaptive,
Titik_10,2018,S2,3,ok_adaptive,20.0
Titik_10,2018,S3,3,ok_adaptive,90.0
Titik_10,2019,S1,6,ok_adaptive,35.0
Titik_10,2022,S1,7,ok_adaptive,35.0
Titik_10,2022,S3,5,ok_adaptive,35.0
Titik_10,2023,S1,3,ok_adaptive,20.0
Titik_10,2024,S1,3,ok_adaptive,20.0
Titik_10,2025,S1,6,ok_adaptive,35.0
Titik_11,2018,S1,0,empty_adaptive,
Titik_11,2018,S2,3,ok_adaptive,20.0
Titik_11,2018,S3,3,ok_adaptive,90.0
Titik_11,2019,S1,6,ok_adaptive,35.0
Titik_11,2022,S1,7,ok_adaptive,35.0
Titik_11,2022,S3,5,ok_adaptive,35.0
Titik_11,2023,S1,3,ok_adaptive,20.0
Titik_11,2024,S1,3,ok_adaptive,20.0
Titik_11,2025,S1,6,ok_adaptive,35.0
Titik_19,2018,S1,0,empty_adaptive,
Titik_19,2018,S2,3,ok_adaptive,20.0
Titik_19,2018,S3,3,ok_adaptive,90.0
Titik_19,2019,S1,6,ok_adaptive,35.0
Titik_19,2020,S1,4,ok_adaptive,20.0
Titik_19,2021,S1,7,ok_adaptive,20.0
Titik_19,2022,S1,7,ok_adaptive,35.0
Titik_19,2022,S3,5,ok_adaptive,35.0
Titik_19,2023,S1,3,ok_adaptive,20.0
Titik_19,2023,S3,18,ok_adaptive,20.0
Titik_19,2024,S1,3,ok_adaptive,20.0
Titik_19,2025,S1,6,ok_adaptive,35.0
