aoi,year,src,n_scenes,land_ha
Titik_01,2000,L5,30,143.8693836665853
Titik_01,2010,L5,20,145.44156748654834
Titik_01,2015,L8,61,145.53051592404833
Titik_01,2024,S2,31,145.02159303998752
Titik_02,2000,L5,30,157.5999506164551
Titik_02,2010,L5,20,158.76261966739432
Titik_02,2015,L8,61,157.94948233477427
Titik_02,2024,S2,31,156.26482848406337
Titik_03,2000,L5,30,132.8196145150458
Titik_03,2010,L5,20,134.06498229458683
Titik_03,2015,L8,61,135.8036225460038
Titik_03,2024,S2,31,133.38530293321793
Titik_04,2000,L5,30,91.60270640641755
Titik_04,2010,L5,20,91.9585327552945
Titik_04,2015,L8,61,171.57643224547147
Titik_04,2024,S2,31,88.68232213353176
Titik_05,2000,L5,30,77.03694043105182
Titik_05,2010,L5,20,77.20786561176374
Titik_05,2015,L8,61,78.1863142995079
Titik_05,2024,S2,31,79.7436646229075
Titik_06,2000,L5,30,127.35307562868604
Titik_06,2010,L5,20,127.08622371828565
Titik_06,2015,L8,61,127.08622484133252
Titik_06,2024,S2,31,129.83206780918505
Titik_07,2000,L5,30,106.2918169864909
Titik_07,2010,L5,20,106.82552062418624
Titik_07,2015,L8,61,108.16569745739513
Titik_07,2024,S2,31,105.67661391826256
Titik_08,2000,L5,30,220.534558983657
Titik_08,2010,L5,20,221.64344882537253
Titik_08,2015,L8,61,223.07954038452158
Titik_08,2024,S2,31,222.81785347843837
Titik_09,2000,L5,30,228.8406241254021
Titik_09,2010,L5,20,230.44173791934745
Titik_09,2015,L8,61,231.4201921124627
Titik_09,2024,S2,31,235.39825517234672
Titik_10,2000,L5,30,165.3059828812663
Titik_10,2010,L5,20,166.28510380651142
Titik_10,2015,L8,61,172.6516144955145
Titik_10,2024,S2,31,170.38230349857415
Titik_11,2000,L5,30,256.9746239330097
Titik_11,2010,L5,20,261.364120138131
Titik_11,2015,L8,61,263.60841017087455
Titik_11,2024,S2,31,268.5694231258377
